"LOC_BLANK","BRANCH_COUNT","CALL_PAIRS","LOC_CODE_AND_COMMENT","LOC_COMMENTS","CONDITION_COUNT","CYCLOMATIC_COMPLEXITY","CYCLOMATIC_DENSITY","DECISION_COUNT","DECISION_DENSITY","DESIGN_COMPLEXITY","DESIGN_DENSITY","EDGE_COUNT","ESSENTIAL_COMPLEXITY","ESSENTIAL_DENSITY","LOC_EXECUTABLE","PARAMETER_COUNT","HALSTEAD_CONTENT","HALSTEAD_DIFFICULTY","HALSTEAD_EFFORT","HALSTEAD_ERROR_EST","HALSTEAD_LENGTH","HALSTEAD_LEVEL","HALSTEAD_PROG_TIME","HALSTEAD_VOLUME","MAINTENANCE_SEVERITY","MODIFIED_CONDITION_COUNT","MULTIPLE_CONDITION_COUNT","NODE_COUNT","NORMALIZED_CYLOMATIC_COMPLEXITY","NUM_OPERANDS","NUM_OPERATORS","NUM_UNIQUE_OPERANDS","NUM_UNIQUE_OPERATORS","NUMBER_OF_LINES","PERCENT_COMMENTS","LOC_TOTAL","Defective"
89,35,5,25,44,64,18,0.17,30,2.13,4,0.22,78,10,0.53,79,1,40.65,58.45,138851.46,0.79,399,0.02,7713.97,2375.72,0.56,17,32,62,0.08,173,226,37,25,238,46.62,104,"N"
2,33,6,2,0,0,17,0.47,0,0,7,0.41,68,14,0.81,34,1,23,44.18,44903.55,0.34,184,0.02,2494.64,1016.34,0.82,0,0,53,0.44,81,103,22,24,39,5.56,36,"N"
40,11,2,10,27,18,6,0.12,8,2.25,5,0.83,23,6,1,42,1,33.65,30.68,31677.57,0.34,194,0.03,1759.86,1032.45,1,5,9,19,0.05,75,119,22,18,120,46.84,52,"N"
1,9,2,0,1,0,5,0.36,0,0,3,0.6,18,3,0.5,14,1,25.3,10.56,2822.18,0.09,55,0.09,156.79,267.19,0.6,0,0,15,0.29,26,29,16,13,17,6.67,14,"N"
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,1,0,2,0,2,1,0,0,"N"
2,11,3,1,0,0,6,0.25,0,0,4,0.67,19,6,1,23,2,27.33,14.93,6093.85,0.14,84,0.07,338.55,408.07,1,0,0,15,0.22,32,52,15,14,27,4.17,24,"N"
4,25,1,0,0,0,13,0.43,0,0,13,1,71,1,0,30,1,37.1,25,23185.06,0.31,189,0.04,1288.06,927.4,0.08,0,0,60,0.37,100,89,20,10,35,0,30,"N"
5,23,9,1,4,0,12,0.25,0,0,9,0.75,57,10,0.82,47,2,52.14,25.38,33598.94,0.44,225,0.04,1866.61,1323.59,0.83,0,0,47,0.21,99,126,39,20,58,9.62,48,"N"
1,3,4,0,0,0,2,0.2,0,0,2,1,10,1,0,10,2,20.81,9,1685.67,0.06,42,0.11,93.65,187.3,0.5,0,0,10,0.17,18,24,11,11,12,0,10,"N"
16,3,2,3,25,4,2,0.11,2,2,2,1,7,1,0,16,2,18.96,13.64,3525.33,0.09,55,0.07,195.85,258.51,0.5,1,2,7,0.03,20,35,11,15,61,63.64,19,"N"
1,3,0,1,0,0,2,0.17,0,0,1,0.5,6,1,0,11,1,10.7,9,867.02,0.03,29,0.11,48.17,96.34,0.5,0,0,6,0.14,12,17,4,6,14,8.33,12,"N"
27,9,2,5,20,14,5,0.24,6,2.33,2,0.4,19,3,0.5,16,1,19.73,17.18,5824.66,0.11,73,0.06,323.59,339,0.6,4,7,16,0.07,27,46,11,14,69,60.98,21,"N"
1,7,0,0,0,0,4,0.44,0,0,1,0.25,10,4,1,9,1,17.43,12.28,2628.09,0.07,48,0.08,146.01,214.05,1,0,0,8,0.36,17,31,9,13,11,0,9,"N"
37,15,3,9,70,26,8,0.15,12,2.17,6,0.75,35,1,0,46,0,29.04,41.61,50271.95,0.4,220,0.02,2792.89,1208.21,0.13,7,13,29,0.05,87,133,23,22,163,63.2,55,"N"
11,23,2,1,20,38,12,0.18,16,2.38,3,0.25,41,11,0.91,64,2,38.24,23.68,21440.49,0.3,169,0.04,1191.14,905.43,0.92,11,19,31,0.12,74,95,25,16,97,24.71,65,"N"
0,5,0,0,0,0,3,0.6,0,0,1,0.33,7,3,1,5,1,13.11,4.8,301.96,0.02,17,0.21,16.78,62.91,1,0,0,6,0.5,6,11,5,8,6,0,5,"N"
2,5,3,0,0,0,3,0.25,0,0,3,1,10,1,0,12,3,18.35,8.33,1274.38,0.05,36,0.12,70.8,152.93,0.33,0,0,9,0.2,15,21,9,10,15,0,12,"N"
1,9,0,0,0,0,5,0.45,0,0,1,0.2,18,5,1,11,2,9.46,15.3,2213.6,0.05,38,0.07,122.98,144.68,1,0,0,15,0.38,17,21,5,9,13,0,11,"N"
3,7,2,0,8,0,4,0.24,0,0,2,0.5,15,3,0.67,17,7,17.85,11.82,2492.55,0.07,46,0.08,138.48,210.91,0.75,0,0,13,0.14,20,26,11,13,29,32,17,"N"
1,9,3,0,0,0,5,0.33,0,0,4,0.8,21,1,0,15,0,30.32,11.33,3894.84,0.11,67,0.09,216.38,343.66,0.2,0,0,18,0.29,34,33,21,14,17,0,15,"N"
1,7,2,0,0,0,4,0.36,0,0,4,1,16,1,0,11,1,24.43,13.09,4186.77,0.11,74,0.08,232.6,319.82,0.25,0,0,14,0.31,32,42,11,9,13,0,11,"N"
3,51,9,0,2,0,26,0.33,0,0,16,0.62,108,22,0.84,80,2,59.54,44.94,120228.24,0.89,438,0.02,6679.35,2675.53,0.85,0,0,84,0.3,192,246,47,22,86,2.44,80,"N"
1,7,4,0,0,0,4,0.33,0,0,3,0.75,20,3,0.67,12,2,19.48,11.92,2766.96,0.08,50,0.08,153.72,232.19,0.75,0,0,18,0.29,22,28,12,13,14,0,12,"N"
3,9,0,0,1,0,6,0.27,0,0,1,0.17,18,1,0,22,3,16.82,29.19,14337.59,0.16,95,0.03,796.53,491.14,0.17,0,0,14,0.22,33,62,13,23,27,4.35,22,"N"
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,5.8,2,23.22,0,5,0.5,1.29,11.61,1,0,0,2,1,1,4,1,4,1,0,0,"N"
0,1,1,0,0,0,1,0.2,0,0,1,1,2,1,0,5,2,12.18,3,109.62,0.01,11,0.33,6.09,36.54,1,0,0,3,0.17,4,7,4,6,6,0,5,"N"
2,3,1,0,0,0,2,0.22,0,0,2,1,7,1,0,9,3,16.35,6.75,744.94,0.04,27,0.15,41.39,110.36,0.5,0,0,7,0.17,12,15,8,9,12,0,9,"N"
1,5,3,0,0,0,3,0.25,0,0,3,1,11,1,0,12,2,21.86,14,4284.74,0.1,63,0.07,238.04,306.05,0.33,0,0,10,0.21,30,33,15,14,14,0,12,"N"
12,187,1,1,17,372,94,8.55,186,2,1,0.01,330,1,0,10,0,382.67,13,64670.9,1.66,1085,0.08,3592.83,4974.68,0.01,93,186,238,2.29,22,1063,11,13,41,64.29,11,"N"
0,1,0,0,0,0,1,0.14,0,0,1,1,1,1,0,7,2,12.99,6.13,487.35,0.03,23,0.16,27.07,79.57,1,0,0,2,0.13,7,16,4,7,8,0,7,"N"
0,5,1,0,0,0,3,0.6,0,0,2,0.67,11,1,0,5,1,4.61,13.5,840.64,0.02,18,0.07,46.7,62.27,0.33,0,0,10,0.5,6,12,2,9,6,0,5,"N"
30,8,5,4,41,4,6,0.14,2,2,6,1,23,1,0,38,2,31.98,28.95,26810.35,0.31,174,0.03,1489.46,926.02,0.17,1,2,19,0.05,64,110,21,19,114,54.22,42,"N"
3,13,4,4,0,0,7,0.26,0,0,7,1,27,6,0.83,23,3,25.34,18.21,8406.04,0.15,95,0.05,467,461.51,0.86,0,0,22,0.23,34,61,14,15,31,14.81,27,"N"
14,9,2,1,25,14,5,0.45,6,2.33,1,0.2,16,1,0,10,0,19.81,9.82,1909.77,0.06,43,0.1,106.1,194.51,0.2,4,7,13,0.1,18,25,11,12,51,72.22,11,"N"
1,11,1,0,0,0,6,0.26,0,0,2,0.33,25,5,0.8,23,4,20.3,22,9823.92,0.15,95,0.05,545.77,446.54,0.83,0,0,21,0.24,44,51,13,13,25,0,23,"N"
2,11,1,0,0,0,6,0.67,0,0,3,0.5,23,3,0.4,9,2,9.17,25,5733.65,0.08,55,0.04,318.54,229.35,0.5,0,0,19,0.5,25,30,6,12,12,0,9,"N"
0,3,0,0,0,0,2,1,0,0,1,0.5,6,1,0,0,0,13.29,3,119.59,0.01,12,0.33,6.64,39.86,0.5,0,0,6,2,4,8,4,6,1,0,0,"N"
6,45,11,2,5,0,23,0.35,0,0,19,0.83,108,19,0.82,64,2,45.49,45.94,95998.42,0.7,347,0.02,5333.25,2089.76,0.83,0,0,87,0.29,147,200,40,25,78,9.86,66,"N"
1,1,1,0,0,0,1,0.1,0,0,1,1,2,1,0,10,3,14.99,5.33,426.42,0.03,21,0.19,23.69,79.95,1,0,0,3,0.08,8,13,6,8,12,0,10,"N"
2,3,1,0,1,0,2,0.29,0,0,2,1,5,1,0,7,3,17.79,5.63,562.94,0.03,24,0.18,31.27,100.08,0.5,0,0,5,0.18,9,15,8,10,11,12.5,7,"N"
0,6,1,0,0,0,5,0.26,0,0,5,1,12,1,0,19,4,27.89,9.5,2517.23,0.09,54,0.11,139.85,264.97,0.2,0,0,9,0.25,19,35,15,15,20,0,19,"N"
10,3,1,2,13,4,2,0.1,2,2,1,0.5,8,1,0,19,0,22.99,23.11,12280.56,0.18,130,0.04,682.25,531.37,0.5,1,2,8,0.04,52,78,9,8,45,44.12,21,"N"
1,19,3,0,0,0,10,0.77,0,0,5,0.5,35,6,0.56,13,3,19.75,20.46,8269.85,0.13,85,0.05,459.44,404.17,0.6,0,0,27,0.67,38,47,13,14,15,0,13,"N"
1,5,1,0,1,0,3,0.3,0,0,2,0.67,9,1,0,10,1,10.13,14,1984.88,0.05,34,0.07,110.27,141.78,0.33,0,0,8,0.23,14,20,6,12,13,9.09,10,"N"
1,3,1,0,0,0,2,0.2,0,0,2,1,7,1,0,10,1,28.04,7.27,1482.91,0.07,48,0.14,82.38,203.9,0.5,0,0,7,0.17,20,28,11,8,12,0,10,"N"
1,5,1,0,1,0,3,0.43,0,0,2,0.67,10,3,1,7,0,11.71,9.43,1041.34,0.04,26,0.11,57.85,110.45,1,0,0,9,0.3,11,15,7,12,10,12.5,7,"N"
12,55,12,2,3,0,34,0.4,0,0,15,0.44,121,17,0.48,84,2,49.42,59.29,173747.07,0.98,445,0.02,9652.62,2930.31,0.5,0,0,89,0.33,181,264,58,38,102,5.62,86,"N"
1,13,5,0,0,0,7,0.37,0,0,4,0.57,28,7,1,19,1,26.05,18,8439.31,0.16,90,0.06,468.85,468.85,1,0,0,23,0.33,38,52,19,18,21,0,19,"N"
4,15,1,1,1,0,8,0.38,0,0,2,0.25,32,4,0.43,20,1,16.63,23.38,9084.42,0.13,80,0.04,504.69,388.64,0.5,0,0,26,0.3,33,47,12,17,27,9.09,21,"N"
13,5,1,2,7,6,3,0.3,2,3,2,0.67,8,3,1,8,1,16.55,10.11,1692.31,0.06,37,0.1,94.02,167.37,1,2,3,7,0.1,13,24,9,14,31,52.94,10,"N"
0,1,1,0,0,0,1,0.13,0,0,1,1,6,1,0,8,1,31.52,5.56,972.99,0.06,46,0.18,54.06,175.14,1,0,0,7,0.11,20,26,9,5,9,0,8,"N"
0,1,0,0,0,0,1,0.13,0,0,1,1,1,1,0,8,3,15.88,7,777.94,0.04,31,0.14,43.22,111.13,1,0,0,2,0.11,10,21,5,7,9,0,8,"N"
2,3,0,0,0,0,2,0.13,0,0,1,0.5,5,1,0,16,2,27.24,11.46,3576.44,0.1,69,0.09,198.69,312.13,0.5,0,0,5,0.11,25,44,12,11,19,0,16,"N"
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1,0,0,2,1,1,5,1,5,1,0,0,"N"
1,9,3,0,0,0,5,0.24,0,0,3,0.6,23,5,1,21,2,26.48,21.47,12211.91,0.19,110,0.05,678.44,568.69,1,0,0,20,0.22,48,62,19,17,23,0,21,"N"
1,3,2,0,0,0,2,0.4,0,0,2,1,8,1,0,5,2,11.58,6.75,527.43,0.03,20,0.15,29.3,78.14,0.5,0,0,8,0.29,9,11,6,9,7,0,5,"N"
1,9,1,0,0,0,5,0.45,0,0,3,0.6,18,1,0,11,2,16.12,14.3,3299.03,0.08,51,0.07,183.28,230.7,0.2,0,0,15,0.38,22,29,10,13,13,0,11,"N"
1,1,0,0,0,0,1,0.07,0,0,1,1,1,1,0,15,3,32.8,9.38,2882.46,0.1,70,0.11,160.14,307.46,1,0,0,2,0.06,25,45,12,9,17,0,15,"N"
14,5,4,4,19,6,3,0.18,2,3,2,0.67,12,3,1,13,3,24.09,16.5,6558.06,0.13,81,0.06,364.34,397.46,1,2,3,11,0.06,33,48,15,15,51,63.89,17,"N"
2,17,2,0,0,0,9,0.47,0,0,4,0.44,32,6,0.63,19,0,29.58,26.25,20382.96,0.26,144,0.04,1132.39,776.49,0.67,0,0,25,0.41,70,74,24,18,22,0,19,"N"
5,67,16,1,1,0,34,0.37,0,0,30,0.88,153,17,0.48,90,2,77.21,42.88,141975.76,1.1,542,0.02,7887.54,3310.82,0.5,0,0,121,0.35,243,299,51,18,98,2.17,91,"N"
1,13,1,0,0,0,7,0.7,0,0,3,0.43,22,1,0,10,1,14.22,20.25,5830.36,0.1,62,0.05,323.91,287.92,0.14,0,0,17,0.58,27,35,10,15,12,0,10,"N"
1,6,3,0,1,0,4,0.11,0,0,4,1,15,1,0,35,3,26.83,23.21,14452.4,0.21,117,0.04,802.91,622.67,0.25,0,0,13,0.11,42,75,19,21,38,2.78,35,"N"
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,"N"
38,29,1,11,25,46,15,0.3,18,2.56,2,0.13,50,12,0.79,39,1,14.74,67.31,66759.69,0.33,189,0.01,3708.87,991.86,0.8,14,23,37,0.13,70,119,13,25,114,48,50,"N"
1,15,2,0,1,0,8,0.47,0,0,5,0.63,29,5,0.57,17,3,25.48,19.42,9611.44,0.16,95,0.05,533.97,494.9,0.63,0,0,23,0.4,41,54,19,18,20,5.56,17,"N"
1,5,1,0,0,0,3,0.43,0,0,2,0.67,9,3,1,7,1,14.31,7.14,729.9,0.03,25,0.14,40.55,102.19,1,0,0,8,0.33,10,15,7,10,9,0,7,"N"
1,3,0,0,0,0,2,0.29,0,0,1,0.5,6,1,0,7,2,8.9,7,435.89,0.02,18,0.14,24.22,62.27,0.5,0,0,6,0.22,8,10,4,7,9,0,7,"N"
19,5,4,2,10,0,4,0.22,0,0,4,1,10,1,0,16,1,24.09,12.75,3916.29,0.1,62,0.08,217.57,307.16,0.25,0,0,8,0.08,21,41,14,17,48,42.86,18,"N"
1,3,1,0,0,0,2,0.18,0,0,2,1,8,1,0,11,1,18.29,7,896,0.04,32,0.14,49.78,128,0.5,0,0,8,0.15,14,18,8,8,13,0,11,"N"
2,13,3,0,1,0,7,0.58,0,0,7,1,29,4,0.5,12,2,14.49,27.82,11216.64,0.13,83,0.04,623.15,403.21,0.57,0,0,24,0.44,34,49,11,18,16,7.69,12,"N"
8,3,0,0,8,4,2,0.4,2,2,1,0.5,5,1,0,5,0,16.18,6.43,668.57,0.03,26,0.16,37.14,104,0.5,1,2,5,0.09,10,16,7,9,22,61.54,5,"N"
20,15,4,5,14,22,8,0.32,8,2.75,5,0.63,24,6,0.71,20,1,19.8,28.5,16082.33,0.19,115,0.04,893.46,564.29,0.75,7,11,18,0.13,38,77,12,18,60,48.72,25,"N"
6,3,0,0,10,4,2,0.4,2,2,1,0.5,6,1,0,5,2,8.86,6,318.91,0.02,16,0.17,17.72,53.15,0.5,1,2,6,0.09,8,8,4,6,22,66.67,5,"N"
3,7,2,0,0,0,4,0.31,0,0,3,0.75,14,1,0,13,3,13.35,29.59,11688.41,0.13,79,0.03,649.36,395,0.25,0,0,12,0.24,31,48,11,21,17,0,13,"N"
13,1,1,1,9,0,1,0.09,0,0,1,1,2,1,0,10,2,30.05,9.31,2603.2,0.09,61,0.11,144.62,279.68,1,0,0,3,0.03,22,39,13,11,34,50,11,"N"
1,20,5,2,3,0,12,0.28,0,0,9,0.75,50,7,0.55,41,2,30.92,45.36,63608.7,0.47,246,0.02,3533.82,1402.31,0.58,0,0,40,0.25,84,162,25,27,48,10.87,43,"N"
3,10,5,0,1,0,6,0.16,0,0,6,1,26,1,0,37,3,36.73,32.52,38830,0.4,203,0.03,2157.22,1194.18,0.17,0,0,22,0.14,72,131,31,28,42,2.63,37,"N"
0,3,1,0,0,0,2,0.33,0,0,2,1,6,1,0,6,1,11.86,8.67,890.92,0.03,27,0.12,49.5,102.8,0.5,0,0,6,0.29,13,14,6,8,7,0,6,"N"
2,7,0,0,0,0,4,0.29,0,0,1,0.25,16,1,0,14,3,23.76,19,8577.24,0.15,92,0.05,476.51,451.43,0.25,0,0,14,0.24,38,54,15,15,17,0,14,"N"
1,15,0,0,0,0,8,0.42,0,0,1,0.13,25,6,0.71,19,1,7.53,74,41237.44,0.19,120,0.01,2290.97,557.26,0.75,0,0,19,0.38,37,83,5,20,21,0,19,"N"
1,13,1,0,0,0,7,0.41,0,0,6,0.86,24,6,0.83,17,3,29.56,17.53,9086.14,0.17,109,0.06,504.79,518.28,0.86,0,0,19,0.37,51,58,16,11,19,0,17,"N"
1,5,1,0,0,0,3,0.43,0,0,1,0.33,10,1,0,7,1,11.62,9.75,1104.67,0.04,29,0.1,61.37,113.3,0.33,0,0,9,0.33,13,16,6,9,9,0,7,"N"
2,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,2,14.99,3,134.92,0.01,13,0.33,7.5,44.97,1,0,0,3,0.2,5,8,5,6,5,0,2,"N"
1,5,0,0,0,0,3,0.3,0,0,1,0.33,12,1,0,10,1,12.81,10.93,1530,0.05,35,0.09,85,140,0.33,0,0,11,0.25,17,18,7,9,12,0,10,"N"
7,1,1,0,19,0,1,0.33,0,0,1,1,2,1,0,3,2,9.05,2,36.19,0.01,7,0.5,2,18.09,1,0,0,3,0.03,2,5,2,4,30,86.36,3,"N"
2,3,0,0,0,0,2,0.29,0,0,1,0.5,5,1,0,7,0,11.63,7.2,603.09,0.03,22,0.14,33.5,83.76,0.5,0,0,5,0.2,8,14,5,9,10,0,7,"N"
3,1,2,0,0,0,1,0.1,0,0,1,1,6,1,0,10,2,34.26,3.82,499.41,0.04,32,0.26,27.75,130.8,1,0,0,7,0.07,14,18,11,6,14,0,10,"N"
7,85,7,4,0,0,43,0.31,0,0,27,0.63,232,18,0.4,136,2,102.58,58.57,351950.71,2,881,0.02,19552.82,6008.58,0.42,0,0,191,0.29,392,489,87,26,148,2.86,140,"N"
1,13,4,0,0,0,7,0.35,0,0,3,0.43,32,4,0.5,20,2,31.12,20.24,12744.97,0.21,120,0.05,708.05,629.75,0.57,0,0,27,0.32,50,70,21,17,22,0,20,"N"
23,5,1,5,15,8,3,0.14,4,2,3,1,11,1,0,17,0,24.34,13,4112.71,0.11,69,0.08,228.48,316.36,0.33,2,4,10,0.05,26,43,12,12,61,54.05,22,"N"
1,17,4,0,1,0,9,0.5,0,0,4,0.44,36,9,1,18,1,17.48,32.31,18244.42,0.19,111,0.03,1013.58,564.71,1,0,0,29,0.43,40,71,13,21,21,5.26,18,"N"
10,49,12,2,4,0,25,0.18,0,0,22,0.88,135,19,0.75,139,2,81.59,55.46,250956.7,1.51,706,0.02,13942.04,4525.03,0.76,0,0,112,0.16,299,407,62,23,156,4.14,141,"N"
11,1,0,1,19,0,1,0.2,0,0,1,1,1,1,0,4,1,8.64,4.17,150,0.01,12,0.24,8.33,36,1,0,0,2,0.03,5,7,3,5,36,83.33,5,"N"
13,1,1,0,13,0,1,0.25,0,0,1,1,2,1,0,4,0,8.72,4,139.48,0.01,11,0.25,7.75,34.87,1,0,0,3,0.03,4,7,3,6,31,76.47,4,"N"
15,5,3,3,21,8,3,0.17,4,2,2,0.67,13,1,0,15,3,31.26,14.91,6951.19,0.16,95,0.07,386.18,466.15,0.33,2,4,12,0.05,39,56,17,13,55,61.54,18,"N"
0,3,0,0,0,0,2,0.4,0,0,1,0.5,5,1,0,5,2,16.21,4.2,286.08,0.02,19,0.24,15.89,68.11,0.5,0,0,5,0.33,6,13,5,7,6,0,5,"N"
2,1,1,0,0,0,1,0.5,0,0,1,1,2,1,0,2,2,16.92,3.5,207.22,0.02,16,0.29,11.51,59.21,1,0,0,3,0.2,6,10,6,7,5,0,2,"N"
3,13,9,0,2,0,7,0.32,0,0,7,1,32,4,0.5,22,1,34.83,15.79,8682.88,0.18,111,0.06,482.38,549.92,0.57,0,0,27,0.25,50,61,19,12,28,8.33,22,"N"
15,45,6,9,46,56,23,0.37,12,4.67,7,0.3,62,19,0.82,54,2,54.16,34.14,63133.21,0.62,326,0.03,3507.4,1849.21,0.83,22,84,41,0.18,115,211,32,19,125,50.46,63,"N"
